actor,character_first,character_last,season_1,season_2,season_3,season_4,season_5,season_6,season_7,season_8
Nathan Fillion,John,Nolan,main,main,main,main,main,main,main,main
Alyssa Diaz,Angela,Lopez,main,main,main,main,main,main,main,main
Richard T. Jones,Wade,Grey,main,main,main,main,main,main,main,main
Titus Makin Jr.,Jackson,West,main,main,main,NA,NA,NA,NA,NA
Mercedes Mason,Zoe,Andersen,main,NA,guest,NA,NA,NA,NA,NA
Melissa O'Neil,Lucy,Chen,main,main,main,main,main,main,main,main
Afton Williamson,Talia,Bishop,main,NA,NA,NA,NA,NA,NA,NA
Eric Winter,Tim,Bradford,main,main,main,main,main,main,main,main
Mekia Cox,Nyla,Harper,NA,main,main,main,main,main,main,main
Shawn Ashmore,Wesley,Evers,recurring,recurring,main,main,main,main,main,main
Jenna Dewan,Bailey,Nune,NA,NA,guest,main,main,main,main,main
Tru Valentino,Aaron,Thorsen,NA,NA,NA,recurring,main,main,NA,guest
Lisseth Chavez,Celina,Juarez,NA,NA,NA,NA,recurring,main,main,main
Deric Augustine,Miles,Penn,NA,NA,NA,NA,NA,NA,recurring,main
